averageBurned;averageForest;averageTime;empty
9887.0;0.0;159.8;0.01
9687.9;0.0;148.7;0.03
9486.0;0.0;147.9;0.05
9289.5;0.0;144.1;0.07
9099.5;1.3;137.7;0.09
8921.1;2.2;147.4;0.11
8717.2;5.2;152.6;0.13
8502.3;7.4;162.3;0.15
8316.4;7.8;150.6;0.17
8098.1;14.7;153.4;0.19
7886.8;18.2;147.8;0.21
7671.7;31.2;152.9;0.23
7433.6;51.0;155.2;0.25
7213.0;75.2;152.4;0.27
6956.0;132.3;157.8;0.29
6686.8;201.9;142.0;0.31
6424.0;286.7;145.9;0.33
6067.9;453.8;127.9;0.35
5103.2;1214.3;88.0;0.37
3471.7;2636.2;20.4;0.39
1798.9;4127.3;92.6;0.41
400.3;5307.0;67.4;0.43
216.4;5299.2;43.3;0.45
111.3;5217.1;27.4;0.47
90.3;5038.7;22.4;0.49
42.3;4906.2;14.6;0.51
21.0;4752.7;9.8;0.53
16.1;4530.6;7.1;0.55
31.0;4305.7;9.7;0.57
7.6;4137.3;4.6;0.59
8.8;3906.6;5.2;0.61
10.9;3694.9;5.6;0.63
7.0;3497.3;3.9;0.65
5.0;3313.3;3.8;0.67
7.0;3102.7;4.1;0.69
6.0;2925.9;4.4;0.71
3.6;2737.0;2.7;0.73
4.3;2502.4;3.2;0.75
2.1;2302.6;2.1;0.77
1.8;2071.3;1.8;0.79
2.5;1861.1;2.3;0.81
1.9;1683.1;1.8;0.83
2.5;1509.6;2.2;0.85
2.6;1319.3;2.2;0.87
1.3;1094.3;1.3;0.89
1.3;917.6;1.2;0.91
1.4;697.5;1.4;0.93
1.8;498.2;1.7;0.95
1.0;297.4;1.0;0.97
1.1;95.9;1.1;0.99
